stream,site,SH2,FH2,log.SH2,log.FH2,SH2.TS,SH2.lnTS,SH2.TSloss,SH2.TSloss-d,SH2.Tsloss-DD,SH2.k,SH2.kDD,FH2.TS,FH2.lnTS,FH2.TSloss,FH2.TSloss-d,FH2.Tsloss-DD,FH2.k,FH2.kDD,dummy
Geo-W,Open,59.2,65,1.772321707,1.812913357,6.0408,1.798536454,18.83508843,0.627836281,0.037208053,-0.006956239,-0.000412254,6.6327,1.892011961,10.88224921,0.375249973,0.019926115,-0.003972815,-0.00021096,3
Geo-W,Open,63.2,56.5,1.800717078,1.752048448,6.449,1.86392508,13.35046439,0.44501548,0.026373371,-0.004776618,-0.000283081,5.7653,1.751857191,22.53673939,0.777128944,0.041266254,-0.008805739,-0.000467593,3
Geo-W,Open,66,63.9,1.819543936,1.805500858,6.7347,1.907273265,9.511765002,0.317058833,0.018790156,-0.003331678,-0.000197448,6.5204,1.874935724,12.39112544,0.427280188,0.022688967,-0.004561651,-0.000242228,3
Geo-W,Open,59.7,60.7,1.775974331,1.783188691,6.0918,1.806943605,18.14984632,0.604994877,0.035854381,-0.006676,-0.000395646,6.1939,1.823564937,16.77801851,0.578552362,0.030721657,-0.006333058,-0.000336291,3
Geo-W,Closed,59.4,51.6,1.773786445,1.712649702,6.0612,1.8019078,18.56099159,0.61869972,0.0412384,-0.00684386,-0.000456166,5.2653,1.661138124,29.25479921,1.00878618,0.073682247,-0.011933982,-0.000871664,4
Geo-W,Closed,48.1,63.7,1.682145076,1.804139432,4.9082,1.590907276,34.05283754,1.135094585,0.075657841,-0.013877211,-0.000924962,6.5,1.871802177,12.66522228,0.436731803,0.031899109,-0.004669705,-0.000341078,4
Geo-W,Closed,60.1,55.3,1.778874472,1.742725131,6.1327,1.81363511,17.60030903,0.586676968,0.039103977,-0.00645295,-0.000430111,5.6429,1.730398118,24.18132043,0.833838636,0.060903991,-0.009545707,-0.000697223,4
Geo-W,Closed,52.4,59.5,1.719331287,1.774516966,5.3469,1.676516954,28.15841185,0.938613728,0.062561736,-0.011023555,-0.000734757,6.0714,1.803589221,18.42394317,0.635308385,0.046403242,-0.007021875,-0.000512881,4
Geo-W,Closed,35.2,60.8,1.546542663,1.783903579,3.5918,1.27865347,51.74014545,1.724671515,0.11495511,-0.024285671,-0.001618721,6.2041,1.825210364,16.64097009,0.573826555,0.041912578,-0.006276319,-0.000458425,4
Geo-W,Closed,56.1,51.6,1.748962861,1.712649702,5.7245,1.744755209,23.08493307,0.769497769,0.051289593,-0.008748947,-0.000583146,5.2653,1.661138124,29.25479921,1.00878618,0.073682247,-0.011933982,-0.000871664,4
Geo-W,Closed,37.3,42.2,1.571708832,1.625312451,3.8061,1.336605043,48.86078501,1.628692834,0.108557811,-0.022353952,-0.001489965,4.3061,1.460032622,42.14272518,1.45319742,0.106142266,-0.018868655,-0.001378176,4
Geo-W,Closed,53.2,50.4,1.725911632,1.702430536,5.4286,1.691681274,27.06068088,0.902022696,0.060122822,-0.010518078,-0.000701065,5.1429,1.637617123,30.89938026,1.065495871,0.077824351,-0.012745051,-0.000930905,4
Geo-W,Closed,61.5,47.6,1.788875116,1.677606953,6.2755,1.836653163,15.68163114,0.522721038,0.034841101,-0.005685682,-0.00037897,4.8571,1.580441552,34.73942325,1.197911147,0.087496029,-0.014716623,-0.001074909,4
Geo-W,Closed,40.9,46.5,1.611723308,1.667452953,4.1735,1.428755012,43.92435465,1.464145155,0.097590159,-0.019282287,-0.001285229,4.7449,1.557070357,36.24695588,1.24989503,0.091292958,-0.015522526,-0.001133773,4
Clear,Open,65.8,72.7,1.818225894,1.861534411,6.7143,1.90423958,9.785861843,0.326195395,0.033876352,-0.003432801,-0.000356506,7.4184,2.003963401,0.325489998,0.011223793,0.001749382,-0.000112421,-1.75E-05,5
Clear,Open,67.6,70.8,1.829946696,1.850033258,6.898,1.931231515,7.317646664,0.243921555,0.025331972,-0.00253307,-0.000263067,7.2245,1.977478027,2.930753598,0.101060469,0.015751659,-0.00102571,-0.000159871,5
Clear,Open,63.4,70.3,1.802089258,1.846955325,6.4694,1.867083369,13.07636755,0.435878918,0.045267309,-0.004671341,-0.000485133,7.1735,1.970393681,3.6159957,0.124689507,0.019434568,-0.001269998,-0.000197947,5
Clear,Open,64.7,70.1,1.810904281,1.845718018,6.602,1.887372633,11.29473808,0.376491269,0.039099727,-0.003995033,-0.000414896,7.1531,1.967545829,3.890092541,0.134141122,0.020907732,-0.001368199,-0.000213253,5
Clear,Open,63.7,68,1.804139432,1.832508913,6.5,1.871802177,12.66522228,0.422174076,0.043844021,-0.004514048,-0.000468797,6.9388,1.937128849,6.769452982,0.233429413,0.036383172,-0.002417061,-0.000376732,5
Clear,Open,65.9,75.3,1.818885415,1.876794976,6.7245,1.905757573,9.648813423,0.321627114,0.033401923,-0.003382201,-0.000351252,7.6837,2.039101202,-3.239112544,0,-0.017408968,0.001099227,0.00017133,5
Clear,Open,61.6,69.7,1.789580712,1.843232778,6.2857,1.838277212,15.54458272,0.518152757,0.053811689,-0.005631547,-0.000584853,7.1122,1.961811619,4.439629835,0.153090684,0.02386128,-0.001565931,-0.000244072,5
Clear,Open,59.5,75.2,1.774516966,1.876217841,6.0714,1.803589221,18.42394317,0.614131439,0.063779358,-0.006787813,-0.000704934,7.6735,2.037772835,-3.102064124,0,-0.016672386,0.001053422,0.00016419,5
Clear,Open,64,69.6,1.806179974,1.84260924,6.5306,1.876498823,12.25407702,0.408469234,0.042420733,-0.004357493,-0.000452538,7.102,1.960376435,4.576678255,0.157816492,0.024597862,-0.00161542,-0.000251785,5
Clear,Open,51.3,65.5,1.710117365,1.8162413,5.2347,1.655309536,29.66594448,0.988864816,0.102696523,-0.011730469,-0.001218244,6.6837,1.899671726,10.1970071,0.351620935,0.05480494,-0.003708686,-0.000578049,5
Clear,Closed,45,65.7,1.653212514,1.81756537,4.5918,1.524272104,38.3040258,1.27680086,0.13581543,-0.016098384,-0.001712412,6.7041,1.90271928,9.922910264,0.342169319,0.047694834,-0.003603598,-0.000502304,6
Clear,Closed,50.8,63,1.705863712,1.799340549,5.1837,1.645519087,30.35118658,1.011706219,0.107616873,-0.012056817,-0.001282504,6.4286,1.860756785,13.62456123,0.469812456,0.065486956,-0.00505058,-0.000703998,6
Clear,Closed,45.9,63.4,1.661812686,1.802089258,4.6837,1.544088396,37.0692464,1.235641547,0.131437246,-0.01543784,-0.001642149,6.4694,1.867083369,13.07636755,0.450909226,0.062852043,-0.004832422,-0.000673589,6
Clear,Closed,47.2,61.6,1.673941999,1.789580712,4.8163,1.572005998,35.28761694,1.176253898,0.125120083,-0.014507254,-0.001543161,6.2857,1.838277212,15.54458272,0.536020094,0.07471561,-0.005825738,-0.000812047,6
Clear,Closed,42.6,63.5,1.629409599,1.802773725,4.3469,1.469462947,41.5945315,1.386484383,0.147482649,-0.017925355,-0.00190675,6.4796,1.86865878,12.93931912,0.446183418,0.062193315,-0.004778098,-0.000666017,6
Clear,Closed,49.8,62.5,1.697229343,1.795880017,5.0816,1.625626173,31.72301439,1.057433813,0.112480993,-0.012719915,-0.001353038,6.3776,1.852791851,14.30980333,0.493441494,0.068780598,-0.005325233,-0.000742282,6
Clear,Closed,47,68.3,1.672097858,1.834420704,4.7959,1.567761386,35.56171378,1.185390459,0.126091954,-0.014648741,-0.001558211,6.9694,1.941529138,6.358307721,0.21925199,0.030561441,-0.002265327,-0.000315763,6
Clear,Closed,46.5,61.9,1.667452953,1.791690649,4.7449,1.557070357,36.24695588,1.208231863,0.128521632,-0.015005108,-0.001596118,6.3163,1.843133594,15.13343746,0.521842671,0.072739425,-0.005658276,-0.000788705,6
Clear,Closed,46.1,66.1,1.663700925,1.820201459,4.7041,1.548434469,36.79514956,1.226504985,0.130465374,-0.015292971,-0.001626739,6.7449,1.908786664,9.374716582,0.323266089,0.045059921,-0.003394377,-0.000473141,6
Clear,Closed,50.8,62.5,1.705863712,1.795880017,5.1837,1.645519087,30.35118658,1.011706219,0.107616873,-0.012056817,-0.001282504,6.3776,1.852791851,14.30980333,0.493441494,0.068780598,-0.005325233,-0.000742282,6
Forsyth,Open,36,61.2,1.556302501,1.786751422,3.6735,1.301144886,50.64241447,1.688080482,0.287953684,-0.023535957,-0.004014776,6.2449,1.831765131,16.09277641,0.554923324,16.09277641,-0.006050292,-0.175458479,7
Forsyth,Open,42.2,64.8,1.625312451,1.811575006,4.3061,1.460032622,42.14272518,1.404757506,0.239624297,-0.0182397,-0.003111338,6.6122,1.888916428,11.15768966,0.384747919,11.15768966,-0.004079558,-0.118307182,7
Forsyth,Open,41.2,70.2,1.614897216,1.846337112,4.2041,1.43606024,43.51320939,1.450440313,0.247416895,-0.019038779,-0.003247645,7.1633,1.968970769,3.753044121,0.129415315,3.753044121,-0.001319063,-0.038252841,7
